group,obs,b0,b1,x,B0,B1,E,y
1,1,-11.209512931044252,0.8575324934416405,4.058441056404263,20,2,-20.93639449958927,-0.5487802392407204
2,1,-4.603549789665599,0.23045810299460115,7.225089315325022,20,2,-14.185669428356142,17.326039790204668
3,1,31.17416628298248,-0.632530617303267,0.5963382846675813,20,2,-10.763966949383807,41.22567367961148
4,1,1.41016782849152,-0.34342642594676304,3.3034922322258353,20,2,-10.786788626723538,16.095857135763442
1,2,-11.209512931044252,0.8575324934416405,7.767640019301325,20,2,1.0718881656708052,32.05865898713774
2,2,-4.603549789665599,0.23045810299460115,8.404593451414257,20,2,15.984875483247432,50.12741925966412
3,2,31.17416628298248,-0.632530617303267,8.705815302673727,20,2,-15.153241440649666,47.92586072015183
4,2,1.41016782849152,-0.34342642594676304,9.530419015791267,20,2,4.336760205966114,41.534768325671905
1,3,-11.209512931044252,0.8575324934416405,3.8395575247704983,20,2,8.995447533210394,28.757594989636196
2,3,-4.603549789665599,0.23045810299460115,9.506319665815681,20,2,-9.895322022888756,26.704575915721158
3,3,31.17416628298248,-0.632530617303267,7.041046256199479,20,2,-0.527994015224791,60.274587445261936
4,3,1.41016782849152,-0.34342642594676304,4.219813938252628,20,2,8.236109026220568,36.63670911224291
1,4,-11.209512931044252,0.8575324934416405,3.9131609397009015,20,2,-2.555091025473886,17.417380580743814
2,4,-4.603549789665599,0.23045810299460115,2.1056674560531974,20,2,-2.2068434725121295,17.886209777388153
3,4,31.17416628298248,-0.632530617303267,7.524801809340715,20,2,3.0772679121061786,64.54137028022306
4,4,1.41016782849152,-0.34342642594676304,4.450778504833579,20,2,-0.6001325333327088,28.183077350230295
1,5,-11.209512931044252,0.8575324934416405,4.533148424234241,20,2,-5.556528899392178,16.187577089406687
2,5,-4.603549789665599,0.23045810299460115,0.8325085928663611,20,2,-1.3861501946089108,15.867175552496898
3,5,31.17416628298248,-0.632530617303267,3.651690287515521,20,2,18.82839792386471,74.9961388701157
4,5,1.41016782849152,-0.34342642594676304,8.949529058299959,20,2,8.736686796060283,44.97240796275307
1,6,-11.209512931044252,0.8575324934416405,5.4443784593604505,20,2,-9.145970728276232,15.202004694895741
2,6,-4.603549789665599,0.23045810299460115,0.30827066395431757,20,2,-12.449176223313197,3.6348587873536378
3,6,31.17416628298248,-0.632530617303267,3.8843308319337666,20,2,-3.599822406826077,52.88604736109076
4,6,1.41016782849152,-0.34342642594676304,1.1339524597860873,20,2,13.28774700947984,36.576390517085656
1,7,-11.209512931044252,0.8575324934416405,2.7725445898249745,20,2,2.926791184169529,19.63991450806597
2,7,-4.603549789665599,0.23045810299460115,7.195198310073465,20,2,-7.015052368406614,24.42998621528421
3,7,31.17416628298248,-0.632530617303267,3.7602518498897552,20,2,8.822345678180202,65.13854123711567
